day,Open,High,Low,Close
2004-03-17,264.02,264.02,260.71,260.71
2004-03-16,263.58,263.58,263.1,263.1
2004-03-15,262.42,264.51,262.42,264.51
2004-12-03,263.13,263.13,262.88,262.88
2004-11-03,258.62,261.22,258.62,261.22
2004-10-03,247.79,255.47,247.79,255.47
2004-09-03,259.29,259.29,256.32,256.32
2004-08-03,266.21,266.21,264.81,264.81
2004-05-03,264.18,267.53,264.18,267.53
2004-04-03,268.24,268.24,265.03,265.03
2004-03-03,269.78,269.86,269.78,269.86
2004-02-03,275.84,275.84,273.43,273.43
2004-01-03,271.44,271.45,271.44,271.45
2004-02-27,250.17,260.6,250.17,260.6
2004-02-26,252.53,252.53,250.64,250.64
2004-02-25,262.04,262.04,255.11,255.11
2004-02-24,256.37,256.37,255.0,255.0
2004-02-23,244.35,246.35,244.35,246.35
2004-02-20,233.83,235.3,233.83,235.3
2004-02-19,225.56,227.67,225.56,227.67
2004-02-18,220.31,221.99,220.31,221.99
2004-02-17,214.2,219.06,214.2,219.06
2004-02-16,219.54,219.54,218.22,218.22
2004-02-13,215.85,217.1,215.85,217.1
2004-12-02,212.99,213.76,212.99,213.76
2004-11-02,212.77,212.81,212.77,212.81
2004-10-02,212.49,213.0,212.49,213.0
2004-09-02,212.7,212.7,212.55,212.55
2004-06-02,215.35,215.35,213.42,213.42
2004-05-02,217.85,217.85,215.33,215.33
2004-04-02,200.03,208.26,200.03,208.26
2004-03-02,200.69,200.69,199.56,199.56
2004-02-02,213.26,213.26,207.14,207.14
2004-01-30,217.7,217.7,214.32,214.32
2004-01-29,210.46,210.46,210.46,210.46
2004-01-28,200.73,200.8,200.73,200.8
2004-01-27,190.88,191.87,190.88,191.87
2004-01-16,180.23,183.18,180.23,183.18
2004-01-15,176.16,177.59,176.16,177.59
2004-01-14,178.72,178.72,176.35,176.35
2004-01-13,174.65,175.17,174.65,175.17
2004-12-01,173.46,174.13,173.46,174.13
2004-09-01,171.44,173.27,171.44,173.27
2004-08-01,171.79,171.79,171.6,171.6
2004-07-01,170.84,171.17,170.84,171.17
2004-06-01,170.78,170.78,170.26,170.26
2004-05-01,167.69,169.16,167.69,169.16
2003-12-31,166.32,166.94,166.32,166.94
2003-12-30,165.82,166.06,165.82,166.06
2003-12-29,165.98,165.98,165.57,165.57
